Running log until ^C
Timestamp                       Thread     Type        Activity             PID    TTL  
2024-03-25 07:38:11.553483-0700 0x29e4306  Default     0x0                  48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxSimulated, Fix, 1, ll, 37.7858340, -122.4064170, acc, 5.00, course, -1.0, time, 733070292.6, deltaDistance, 0.0, deltaDistanceAccuracy, 1.9, odometer, 0.0, timestampGps, 733070292.6
2024-03-25 07:38:11.553604-0700 0x29e4306  Activity    0x364e5dc            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:11.553643-0700 0x29e4306  Activity    0x364e5dd            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:11.553661-0700 0x29e4306  Activity    0x364e5de            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:11.553674-0700 0x29e4306  Activity    0x364e5df            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:11.553684-0700 0x29e4306  Activity    0x364e660            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:11.553695-0700 0x29e4306  Activity    0x364e661            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:11.553704-0700 0x29e4306  Activity    0x364e662            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:11.554095-0700 0x29a39a9  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxClient, Fix, 1, ll, 37.7858340, -122.4064170, acc, 5.00, speed, -1.0, course, -1.0, type, 1, alt, 0.0, altunc, -1.0,ellipsoidalAlt,0.0,speedUnc,-1.0,courseUnc,-1.0,signalEnv,0,timestamp,733070291.554
2024-03-25 07:38:11.554396-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] MovingApDetector, received location: lat, 37.78583400, lon, -122.40641700, alt, 0.0, acc, 5.0, vacc, -1.0, timestamp, 733070291.6, age, 0.0, type, 1, success: yes
2024-03-25 07:38:11.554366-0700 0x29a39aa  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Core:Core] {"msg":"#pla #zone-relevance-tracker, location notification", "notification":5, "_currentLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 4F AF 46 E9 E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00', "NewLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 9D D9 C6 E9 E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00'}
2024-03-25 07:38:11.555506-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000d44778) wifi1Event
2024-03-25 07:38:11.555546-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:11.555677-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684384036808770, "end_mach":684384036890741, "elapsed_s":"0.000081971", "event":System::LeechLocation, "now_s":"733070291.555585027"}
2024-03-25 07:38:11.555737-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000d44778) wifi1Event
2024-03-25 07:38:11.555832-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000d44778) wifi1Event
2024-03-25 07:38:11.555894-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:11.556074-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684384037189143, "end_mach":684384037287410, "elapsed_s":"0.000098267", "event":System::LeechLocation, "now_s":"733070291.555969000"}
2024-03-25 07:38:11.556173-0700 0x2982d45  Default     0x364e5dc            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000d44778) wifi1Event
